Year,Units,federal state,GeoCode,Value
1990,1990 = 100,,,100.0
1991,1990 = 100,,,96.311
1992,1990 = 100,,,92.36
1993,1990 = 100,,,91.615
1994,1990 = 100,,,90.135
1995,1990 = 100,,,89.565
1996,1990 = 100,,,90.94
1997,1990 = 100,,,88.089
1998,1990 = 100,,,86.124
1999,1990 = 100,,,83.373
2000,1990 = 100,,,83.134
2001,1990 = 100,,,84.307
2002,1990 = 100,,,82.562
2003,1990 = 100,,,82.271
2004,1990 = 100,,,80.744
2005,1990 = 100,,,78.722
2006,1990 = 100,,,79.274
2007,1990 = 100,,,77.114
2008,1990 = 100,,,77.122
2009,1990 = 100,,,71.797
2010,1990 = 100,,,74.517
2011,1990 = 100,,,72.529
2012,1990 = 100,,,72.996
2013,1990 = 100,,,74.607
2014,1990 = 100,,,71.402
2015,1990 = 100,,,71.662
2016,1990 = 100,,,71.814
2017,1990 = 100,,,70.458
2018,1990 = 100,,,67.627
2019,1990 = 100,,,63.508
2020,1990 = 100,,,58.417
2021,1990 = 100,,,60.769
2022,1990 = 100,,,59.591
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
1990,1990 = 100,baden-wuerttemberg,code08,100.0
1995,1990 = 100,baden-wuerttemberg,code08,103.932
2000,1990 = 100,baden-wuerttemberg,code08,97.194
2003,1990 = 100,baden-wuerttemberg,code08,97.621
2004,1990 = 100,baden-wuerttemberg,code08,96.316
2005,1990 = 100,baden-wuerttemberg,code08,98.77
2006,1990 = 100,baden-wuerttemberg,code08,99.638
2007,1990 = 100,baden-wuerttemberg,code08,91.553
2008,1990 = 100,baden-wuerttemberg,code08,93.394
2009,1990 = 100,baden-wuerttemberg,code08,86.166
2010,1990 = 100,baden-wuerttemberg,code08,87.829
2011,1990 = 100,baden-wuerttemberg,code08,86.01
2012,1990 = 100,baden-wuerttemberg,code08,85.008
2013,1990 = 100,baden-wuerttemberg,code08,86.166
2014,1990 = 100,baden-wuerttemberg,code08,87.829
2015,1990 = 100,baden-wuerttemberg,code08,86.01
2016,1990 = 100,baden-wuerttemberg,code08,85.008
2017,1990 = 100,baden-wuerttemberg,code08,90.907
2018,1990 = 100,baden-wuerttemberg,code08,85.331
2019,1990 = 100,baden-wuerttemberg,code08,82.734
1990,1990 = 100,bavaria,code09,100.0
1995,1990 = 100,bavaria,code09,102.06
2000,1990 = 100,bavaria,code09,99.776
2003,1990 = 100,bavaria,code09,93.87
2004,1990 = 100,bavaria,code09,92.381
2005,1990 = 100,bavaria,code09,89.661
2006,1990 = 100,bavaria,code09,90.384
2007,1990 = 100,bavaria,code09,83.978
2008,1990 = 100,bavaria,code09,91.186
2009,1990 = 100,bavaria,code09,88.076
2010,1990 = 100,bavaria,code09,91.088
2011,1990 = 100,bavaria,code09,89.787
2012,1990 = 100,bavaria,code09,89.856
2013,1990 = 100,bavaria,code09,88.076
2014,1990 = 100,bavaria,code09,91.088
2015,1990 = 100,bavaria,code09,89.787
2016,1990 = 100,bavaria,code09,89.856
2017,1990 = 100,bavaria,code09,90.446
2018,1990 = 100,bavaria,code09,86.633
2019,1990 = 100,bavaria,code09,88.659
1990,1990 = 100,berlin,code11,100.0
1995,1990 = 100,berlin,code11,91.115
2000,1990 = 100,berlin,code11,86.11
2003,1990 = 100,berlin,code11,76.983
2004,1990 = 100,berlin,code11,73.149
2005,1990 = 100,berlin,code11,72.328
2006,1990 = 100,berlin,code11,71.778
2007,1990 = 100,berlin,code11,62.868
2008,1990 = 100,berlin,code11,66.312
2009,1990 = 100,berlin,code11,64.686
2010,1990 = 100,berlin,code11,70.602
2011,1990 = 100,berlin,code11,62.257
2012,1990 = 100,berlin,code11,62.654
2013,1990 = 100,berlin,code11,64.686
2014,1990 = 100,berlin,code11,70.602
2015,1990 = 100,berlin,code11,62.257
2016,1990 = 100,berlin,code11,62.654
2017,1990 = 100,berlin,code11,64.733
2018,1990 = 100,berlin,code11,61.418
2019,1990 = 100,berlin,code11,51.951
1990,1990 = 100,brandenburg,code12,100.0
1995,1990 = 100,brandenburg,code12,67.181
2000,1990 = 100,brandenburg,code12,78.715
2003,1990 = 100,brandenburg,code12,75.4
2004,1990 = 100,brandenburg,code12,76.073
2005,1990 = 100,brandenburg,code12,76.572
2006,1990 = 100,brandenburg,code12,74.519
2007,1990 = 100,brandenburg,code12,75.087
2008,1990 = 100,brandenburg,code12,73.6
2009,1990 = 100,brandenburg,code12,69.304
2010,1990 = 100,brandenburg,code12,72.105
2011,1990 = 100,brandenburg,code12,72.207
2012,1990 = 100,brandenburg,code12,73.328
2013,1990 = 100,brandenburg,code12,69.304
2014,1990 = 100,brandenburg,code12,72.105
2015,1990 = 100,brandenburg,code12,72.207
2016,1990 = 100,brandenburg,code12,73.328
2017,1990 = 100,brandenburg,code12,72.684
2018,1990 = 100,brandenburg,code12,71.369
2019,1990 = 100,brandenburg,code12,62.672
1990,1990 = 100,bremen,code04,100.0
1995,1990 = 100,bremen,code04,98.117
2000,1990 = 100,bremen,code04,102.743
2003,1990 = 100,bremen,code04,106.276
2004,1990 = 100,bremen,code04,94.781
2005,1990 = 100,bremen,code04,88.956
2006,1990 = 100,bremen,code04,92.461
2007,1990 = 100,bremen,code04,99.224
2008,1990 = 100,bremen,code04,95.085
2009,1990 = 100,bremen,code04,91.827
2010,1990 = 100,bremen,code04,101.594
2011,1990 = 100,bremen,code04,95.31
2012,1990 = 100,bremen,code04,96.798
2013,1990 = 100,bremen,code04,91.827
2014,1990 = 100,bremen,code04,101.594
2015,1990 = 100,bremen,code04,95.31
2016,1990 = 100,bremen,code04,96.798
2017,1990 = 100,bremen,code04,97.087
2018,1990 = 100,bremen,code04,92.574
2019,1990 = 100,bremen,code04,83.378
1990,1990 = 100,hamburg,code02,100.0
1995,1990 = 100,hamburg,code02,104.049
2003,1990 = 100,hamburg,code02,96.958
2004,1990 = 100,hamburg,code02,96.496
2005,1990 = 100,hamburg,code02,93.197
2006,1990 = 100,hamburg,code02,91.903
2007,1990 = 100,hamburg,code02,88.641
2008,1990 = 100,hamburg,code02,89.995
2009,1990 = 100,hamburg,code02,90.45
2010,1990 = 100,hamburg,code02,93.393
2011,1990 = 100,hamburg,code02,88.308
2012,1990 = 100,hamburg,code02,87.112
2013,1990 = 100,hamburg,code02,90.45
2014,1990 = 100,hamburg,code02,93.393
2015,1990 = 100,hamburg,code02,88.308
