Year,Units,time series,federal state,GeoCode,Value
1991,"per 100,000 inhabitants",premature death (women),,,234.6
1992,"per 100,000 inhabitants",premature death (women),,,225.0
1993,"per 100,000 inhabitants",premature death (women),,,222.9
1994,"per 100,000 inhabitants",premature death (women),,,216.4
1995,"per 100,000 inhabitants",premature death (women),,,212.2
1996,"per 100,000 inhabitants",premature death (women),,,208.2
1997,"per 100,000 inhabitants",premature death (women),,,199.6
1998,"per 100,000 inhabitants",premature death (women),,,193.3
1999,"per 100,000 inhabitants",premature death (women),,,188.8
2000,"per 100,000 inhabitants",premature death (women),,,184.3
2001,"per 100,000 inhabitants",premature death (women),,,179.0
2002,"per 100,000 inhabitants",premature death (women),,,177.0
2003,"per 100,000 inhabitants",premature death (women),,,173.2
2004,"per 100,000 inhabitants",premature death (women),,,166.4
2005,"per 100,000 inhabitants",premature death (women),,,164.7
2006,"per 100,000 inhabitants",premature death (women),,,159.2
2007,"per 100,000 inhabitants",premature death (women),,,157.9
2008,"per 100,000 inhabitants",premature death (women),,,158.8
2009,"per 100,000 inhabitants",premature death (women),,,157.4
2010,"per 100,000 inhabitants",premature death (women),,,155.4
2011,"per 100,000 inhabitants",premature death (women),,,157.1
2012,"per 100,000 inhabitants",premature death (women),,,152.9
2013,"per 100,000 inhabitants",premature death (women),,,155.8
2014,"per 100,000 inhabitants",premature death (women),,,149.1
2015,"per 100,000 inhabitants",premature death (women),,,153.0
2016,"per 100,000 inhabitants",premature death (women),,,151.6
2017,"per 100,000 inhabitants",premature death (women),,,148.7
2018,"per 100,000 inhabitants",premature death (women),,,151.1
2019,"per 100,000 inhabitants",premature death (women),,,145.9
2020,"per 100,000 inhabitants",premature death (women),,,145.4
2021,"per 100,000 inhabitants",premature death (women),,,151.8
2022,"per 100,000 inhabitants",premature death (women),,,152.7
2023,"per 100,000 inhabitants",premature death (women),,,146.5
2030,"per 100,000 inhabitants",premature death (women),,,
1991,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,194.7
1992,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,193.3
1993,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,189.2
1994,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,185.8
1995,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,182.9
1996,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,182.0
1997,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,172.0
1998,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,169.4
1999,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,168.1
2000,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,158.2
2001,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,159.7
2002,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,153.8
2003,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,153.7
2004,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,145.1
2005,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,144.0
2006,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,136.7
2007,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,137.2
2008,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,137.8
2009,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,135.1
2010,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,135.6
2011,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,135.0
2012,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,130.2
2013,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,135.1
2014,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,128.6
2015,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,132.9
2016,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,131.9
2017,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,127.6
2018,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,130.3
2019,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,125.6
2020,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,120.2
2021,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,125.0
2022,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,128.2
2023,"per 100,000 inhabitants",premature death (women),baden-wuerttemberg,code08,122.1
1991,"per 100,000 inhabitants",premature death (women),bavaria,code09,211.9
1992,"per 100,000 inhabitants",premature death (women),bavaria,code09,203.1
1993,"per 100,000 inhabitants",premature death (women),bavaria,code09,205.8
1994,"per 100,000 inhabitants",premature death (women),bavaria,code09,196.0
1995,"per 100,000 inhabitants",premature death (women),bavaria,code09,195.5
1996,"per 100,000 inhabitants",premature death (women),bavaria,code09,194.0
1997,"per 100,000 inhabitants",premature death (women),bavaria,code09,187.5
1998,"per 100,000 inhabitants",premature death (women),bavaria,code09,182.0
1999,"per 100,000 inhabitants",premature death (women),bavaria,code09,177.3
2000,"per 100,000 inhabitants",premature death (women),bavaria,code09,173.9
2001,"per 100,000 inhabitants",premature death (women),bavaria,code09,167.9
2002,"per 100,000 inhabitants",premature death (women),bavaria,code09,164.6
2003,"per 100,000 inhabitants",premature death (women),bavaria,code09,162.1
2004,"per 100,000 inhabitants",premature death (women),bavaria,code09,152.8
