Year,Units,time series,Value
2015,million eur,germany’s contribution to global pandemic prevention and response,147.9
2016,million eur,germany’s contribution to global pandemic prevention and response,154.5
2017,million eur,germany’s contribution to global pandemic prevention and response,322.1
2018,million eur,germany’s contribution to global pandemic prevention and response,279.4
2019,million eur,germany’s contribution to global pandemic prevention and response,300.5
2020,million eur,germany’s contribution to global pandemic prevention and response,398.3
2021,million eur,germany’s contribution to global pandemic prevention and response,396.7
2022,million eur,germany’s contribution to global pandemic prevention and response,452.8
2023,million eur,germany’s contribution to global pandemic prevention and response,587.6
2030,million eur,germany’s contribution to global pandemic prevention and response,
2015,million eur,separate amount devoted to curbing the covid-19 pandemic,0.0
2016,million eur,separate amount devoted to curbing the covid-19 pandemic,0.0
2017,million eur,separate amount devoted to curbing the covid-19 pandemic,0.0
2018,million eur,separate amount devoted to curbing the covid-19 pandemic,0.0
2019,million eur,separate amount devoted to curbing the covid-19 pandemic,0.0
2020,million eur,separate amount devoted to curbing the covid-19 pandemic,743.7
2021,million eur,separate amount devoted to curbing the covid-19 pandemic,842.7
2022,million eur,separate amount devoted to curbing the covid-19 pandemic,1224.9
2023,million eur,separate amount devoted to curbing the covid-19 pandemic,30.7
2030,million eur,separate amount devoted to curbing the covid-19 pandemic,
