Year,Units,sex,Value
2007,percentage,,45.4
2010,percentage,,45.0
2011,percentage,,50.2
2012,percentage,,50.0
2014,percentage,,52.0
2016,percentage,,52.0
2018,percentage,,56.0
2020,percentage,,62.0
2022,percentage,,60.4
2008,percentage,,
2009,percentage,,
2013,percentage,,
2015,percentage,,
2017,percentage,,
2019,percentage,,
2021,percentage,,
2030,percentage,,
2007,percentage,female,42.4
2010,percentage,female,
2011,percentage,female,47.6
2012,percentage,female,
2014,percentage,female,
2016,percentage,female,52.2
2018,percentage,female,
2020,percentage,female,
2022,percentage,female,60.9
2008,percentage,female,
2009,percentage,female,
2013,percentage,female,
2015,percentage,female,
2017,percentage,female,
2019,percentage,female,
2021,percentage,female,
2007,percentage,male,48.3
2010,percentage,male,
2011,percentage,male,52.8
2012,percentage,male,
2014,percentage,male,
2016,percentage,male,51.8
2018,percentage,male,
2020,percentage,male,
2022,percentage,male,60.0
2008,percentage,male,
2009,percentage,male,
2013,percentage,male,
2015,percentage,male,
2017,percentage,male,
2019,percentage,male,
2021,percentage,male,
