Year,Units,Series,COMMENT_OBS_0,länder,GeoCode,Value
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,23.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,23.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,23.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,23.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,22.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,22.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,23.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,22.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,22.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,,,22.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,,,21.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,,,20.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,,,20.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,,,19.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,18.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,18.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,18.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,18.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,,,16.0
2006,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,8.0
2007,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2008,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2009,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2010,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,7.0
2011,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2012,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2013,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2014,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,6.0
2015,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2016,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2017,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2018,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,6.0
2019,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2020,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2021,percentage,<u>additional time series:</u> adjusted gender pay gap,.,,,
2022,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,7.0
2023,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,6.0
2024,percentage,<u>additional time series:</u> adjusted gender pay gap,,,,6.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,28.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,28.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,28.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,27.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,26.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,26.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,25.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,24.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,baden-wuerttemberg,code08,23.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,baden-wuerttemberg,code08,23.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,baden-wuerttemberg,code08,22.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,baden-wuerttemberg,code08,23.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,baden-wuerttemberg,code08,22.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,baden-wuerttemberg,code08,19.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,23.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,24.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,26.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,25.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,24.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,24.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,24.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,24.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,bavaria,code09,23.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,bavaria,code09,22.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,bavaria,code09,21.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bavaria,code09,21.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bavaria,code09,21.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,bavaria,code09,18.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,16.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,15.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,15.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,15.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,14.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,12.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,10.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,10.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,berlin,code11,10.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,berlin,code11,10.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,berlin,code11,10.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,berlin,code11,10.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,berlin,code11,11.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,berlin,code11,10.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,brandenburg,code12,6.0
