Year,Units,Series,COMMENT_OBS_0,federal state,GeoCode,Value
2008,2008 = 100,a) final energy productivity,,,,100.0
2009,2008 = 100,a) final energy productivity,r,,,99.937
2010,2008 = 100,a) final energy productivity,r,,,97.043
2011,2008 = 100,a) final energy productivity,r,,,105.1
2012,2008 = 100,a) final energy productivity,r,,,104.754
2013,2008 = 100,a) final energy productivity,r,,,102.688
2014,2008 = 100,a) final energy productivity,r,,,110.874
2015,2008 = 100,a) final energy productivity,r,,,110.119
2016,2008 = 100,a) final energy productivity,r,,,110.865
2017,2008 = 100,a) final energy productivity,r,,,112.75
2018,2008 = 100,a) final energy productivity,r,,,116.233
2019,2008 = 100,a) final energy productivity,r,,,117.193
2020,2008 = 100,a) final energy productivity,r,,,120.359
2021,2008 = 100,a) final energy productivity,r,,,119.991
2022,2008 = 100,a) final energy productivity,r,,,125.827
2023,2008 = 100,a) final energy productivity,,,,131.49
2024,2008 = 100,a) final energy productivity,p,,,131.283
2030,2008 = 100,a) final energy productivity,…,,,
2008,2008 = 100,a) final energy productivity,,baden-wuerttemberg,code08,100.0
2009,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,95.684
2010,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,100.307
2011,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,109.608
2012,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,111.746
2013,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,107.116
2014,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,116.694
2015,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,115.915
2016,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,115.64
2017,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,120.069
2018,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,125.162
2019,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,121.327
2020,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,121.556
