Year,Units,federal state,GeoCode,Value
2005,percentage,,,10.3
2006,percentage,,,11.7
2007,percentage,,,14.4
2008,percentage,,,15.3
2009,percentage,,,16.6
2010,percentage,,,17.2
2011,percentage,,,20.6
2012,percentage,,,23.8
2013,percentage,,,25.3
2014,percentage,,,27.5
2015,percentage,,,31.6
2016,percentage,,,31.8
2017,percentage,,,36.2
2018,percentage,,,37.9
2019,percentage,,,42.2
2020,percentage,,,45.5
2021,percentage,,,41.5
2022,percentage,,,46.3
2023,percentage,,,52.5
2030,percentage,,,
2005,percentage,baden-wuerttemberg,code08,8.583
2006,percentage,baden-wuerttemberg,code08,10.059
2007,percentage,baden-wuerttemberg,code08,11.262
2008,percentage,baden-wuerttemberg,code08,11.435
2009,percentage,baden-wuerttemberg,code08,12.156
2010,percentage,baden-wuerttemberg,code08,13.785
2011,percentage,baden-wuerttemberg,code08,15.251
2012,percentage,baden-wuerttemberg,code08,18.075
2013,percentage,baden-wuerttemberg,code08,18.874
2014,percentage,baden-wuerttemberg,code08,19.719
2015,percentage,baden-wuerttemberg,code08,19.855
2016,percentage,baden-wuerttemberg,code08,21.065
2017,percentage,baden-wuerttemberg,code08,22.4
2018,percentage,baden-wuerttemberg,code08,23.014
2019,percentage,baden-wuerttemberg,code08,24.585
2020,percentage,baden-wuerttemberg,code08,27.393
2021,percentage,baden-wuerttemberg,code08,26.756
2022,percentage,baden-wuerttemberg,code08,27.309
2005,percentage,bavaria,code09,18.449
2006,percentage,bavaria,code09,20.048
2007,percentage,bavaria,code09,22.145
2008,percentage,bavaria,code09,22.644
2009,percentage,bavaria,code09,24.645
2010,percentage,bavaria,code09,26.417
2011,percentage,bavaria,code09,27.671
2012,percentage,bavaria,code09,35.247
2013,percentage,bavaria,code09,37.101
2014,percentage,bavaria,code09,38.373
2015,percentage,bavaria,code09,40.329
2016,percentage,bavaria,code09,42.261
2017,percentage,bavaria,code09,44.363
2018,percentage,bavaria,code09,42.294
2019,percentage,bavaria,code09,45.782
2020,percentage,bavaria,code09,46.854
2021,percentage,bavaria,code09,45.003
2005,percentage,berlin,code11,0.745
2006,percentage,berlin,code11,0.813
2007,percentage,berlin,code11,0.832
2010,percentage,berlin,code11,2.349
2011,percentage,berlin,code11,2.385
2012,percentage,berlin,code11,1.704
2013,percentage,berlin,code11,1.891
2014,percentage,berlin,code11,2.168
2015,percentage,berlin,code11,2.471
2016,percentage,berlin,code11,2.467
2017,percentage,berlin,code11,2.715
2018,percentage,berlin,code11,3.379
2019,percentage,berlin,code11,3.341
2020,percentage,berlin,code11,3.818
2021,percentage,berlin,code11,3.425
2022,percentage,berlin,code11,3.511
2005,percentage,brandenburg,code12,22.207
2006,percentage,brandenburg,code12,28.179
2007,percentage,brandenburg,code12,38.865
2008,percentage,brandenburg,code12,37.645
2009,percentage,brandenburg,code12,40.989
2010,percentage,brandenburg,code12,48.257
2011,percentage,brandenburg,code12,54.481
2012,percentage,brandenburg,code12,55.819
2013,percentage,brandenburg,code12,59.342
2014,percentage,brandenburg,code12,62.178
2015,percentage,brandenburg,code12,68.975
2016,percentage,brandenburg,code12,69.935
2017,percentage,brandenburg,code12,82.255
2018,percentage,brandenburg,code12,86.836
2019,percentage,brandenburg,code12,97.908
2020,percentage,brandenburg,code12,101.9
2021,percentage,brandenburg,code12,90.072
2022,percentage,brandenburg,code12,97.406
2005,percentage,bremen,code04,3.908
2006,percentage,bremen,code04,4.204
2007,percentage,bremen,code04,5.022
2008,percentage,bremen,code04,5.796
2009,percentage,bremen,code04,6.069
2010,percentage,bremen,code04,7.098
2011,percentage,bremen,code04,8.799
2012,percentage,bremen,code04,9.944
2013,percentage,bremen,code04,13.156
2014,percentage,bremen,code04,13.919
2015,percentage,bremen,code04,15.078
2016,percentage,bremen,code04,13.943
2017,percentage,bremen,code04,14.805
2018,percentage,bremen,code04,14.716
2019,percentage,bremen,code04,16.285
2020,percentage,bremen,code04,17.809
2021,percentage,bremen,code04,18.051
2005,percentage,hamburg,code02,1.317
2006,percentage,hamburg,code02,2.741
2007,percentage,hamburg,code02,2.677
2008,percentage,hamburg,code02,2.73
2009,percentage,hamburg,code02,2.915
2010,percentage,hamburg,code02,2.632
2011,percentage,hamburg,code02,2.816
2012,percentage,hamburg,code02,2.937
2013,percentage,hamburg,code02,2.806
2014,percentage,hamburg,code02,3.676
2015,percentage,hamburg,code02,3.832
2016,percentage,hamburg,code02,3.298
2017,percentage,hamburg,code02,3.735
2018,percentage,hamburg,code02,4.505
2019,percentage,hamburg,code02,4.821
2020,percentage,hamburg,code02,4.877
2021,percentage,hamburg,code02,4.835
2022,percentage,hamburg,code02,5.345
2005,percentage,hesse,code06,3.793
2006,percentage,hesse,code06,4.216
2007,percentage,hesse,code06,5.399
2008,percentage,hesse,code06,5.526
2009,percentage,hesse,code06,6.712
2010,percentage,hesse,code06,7.862
2011,percentage,hesse,code06,9.684
2012,percentage,hesse,code06,11.069
2013,percentage,hesse,code06,12.517
2014,percentage,hesse,code06,14.175
2015,percentage,hesse,code06,16.379
2016,percentage,hesse,code06,16.903
2017,percentage,hesse,code06,19.471
2018,percentage,hesse,code06,22.302
2019,percentage,hesse,code06,22.719
2020,percentage,hesse,code06,24.763
2021,percentage,hesse,code06,21.744
2022,percentage,hesse,code06,23.531
2010,percentage,mecklenburg western pomerania,code13,56.674
2011,percentage,mecklenburg western pomerania,code13,72.874
2012,percentage,mecklenburg western pomerania,code13,90.19
2013,percentage,mecklenburg western pomerania,code13,61.074
2014,percentage,mecklenburg western pomerania,code13,63.332
2006,percentage,lower saxony,code03,18.628
2008,percentage,lower saxony,code03,26.251
2009,percentage,lower saxony,code03,26.602
2010,percentage,lower saxony,code03,27.227
2011,percentage,lower saxony,code03,33.843
2012,percentage,lower saxony,code03,39.508
2013,percentage,lower saxony,code03,40.304
2014,percentage,lower saxony,code03,44.83
2015,percentage,lower saxony,code03,54.282
2016,percentage,lower saxony,code03,55.724
2017,percentage,lower saxony,code03,68.109
2018,percentage,lower saxony,code03,72.526
2019,percentage,lower saxony,code03,82.902
2020,percentage,lower saxony,code03,92.04
2021,percentage,lower saxony,code03,81.145
2022,percentage,lower saxony,code03,89.855
2005,percentage,north rhine-westphalia,code05,5.701
2006,percentage,north rhine-westphalia,code05,5.849
2007,percentage,north rhine-westphalia,code05,6.144
2008,percentage,north rhine-westphalia,code05,4.713
2009,percentage,north rhine-westphalia,code05,8.033
2010,percentage,north rhine-westphalia,code05,7.883
2011,percentage,north rhine-westphalia,code05,8.9
2012,percentage,north rhine-westphalia,code05,10.839
2013,percentage,north rhine-westphalia,code05,10.145
2014,percentage,north rhine-westphalia,code05,10.468
2015,percentage,north rhine-westphalia,code05,12.581
2016,percentage,north rhine-westphalia,code05,12.293
2017,percentage,north rhine-westphalia,code05,13.746
2018,percentage,north rhine-westphalia,code05,14.178
2019,percentage,north rhine-westphalia,code05,16.442
2020,percentage,north rhine-westphalia,code05,18.311
2021,percentage,north rhine-westphalia,code05,16.9
2005,percentage,rhineland palatinate,code07,7.906
2006,percentage,rhineland palatinate,code07,10.156
2007,percentage,rhineland palatinate,code07,12.58
2008,percentage,rhineland palatinate,code07,13.016
2009,percentage,rhineland palatinate,code07,14.517
2010,percentage,rhineland palatinate,code07,15.289
2011,percentage,rhineland palatinate,code07,16.81
2012,percentage,rhineland palatinate,code07,20.593
2013,percentage,rhineland palatinate,code07,23.1
2014,percentage,rhineland palatinate,code07,25.431
2015,percentage,rhineland palatinate,code07,30.733
2016,percentage,rhineland palatinate,code07,31.229
2017,percentage,rhineland palatinate,code07,33.936
2018,percentage,rhineland palatinate,code07,34.943
2019,percentage,rhineland palatinate,code07,38.116
2020,percentage,rhineland palatinate,code07,41.252
2021,percentage,rhineland palatinate,code07,36.054
2022,percentage,rhineland palatinate,code07,38.75
2005,percentage,saarland,code10,3.229
2006,percentage,saarland,code10,4.219
2007,percentage,saarland,code10,5.3
2008,percentage,saarland,code10,4.66
2009,percentage,saarland,code10,4.921
2010,percentage,saarland,code10,5.658
2011,percentage,saarland,code10,6.535
2012,percentage,saarland,code10,6.595
2013,percentage,saarland,code10,7.61
2014,percentage,saarland,code10,10.223
2015,percentage,saarland,code10,13.083
2005,percentage,saxony,code14,7.573
2006,percentage,saxony,code14,8.213
2007,percentage,saxony,code14,11.045
2008,percentage,saxony,code14,11.51
2009,percentage,saxony,code14,12.41
2010,percentage,saxony,code14,12.709
2011,percentage,saxony,code14,15.289
2012,percentage,saxony,code14,16.077
2013,percentage,saxony,code14,17.28
2014,percentage,saxony,code14,18.284
2015,percentage,saxony,code14,20.699
2016,percentage,saxony,code14,19.762
2017,percentage,saxony,code14,21.373
2018,percentage,saxony,code14,21.202
2019,percentage,saxony,code14,22.781
2020,percentage,saxony,code14,24.672
2021,percentage,saxony,code14,21.858
2022,percentage,saxony,code14,22.813
2005,percentage,saxony-anhalt,code15,18.799
2006,percentage,saxony-anhalt,code15,22.689
2007,percentage,saxony-anhalt,code15,33.829
2008,percentage,saxony-anhalt,code15,38.277
2009,percentage,saxony-anhalt,code15,41.648
2010,percentage,saxony-anhalt,code15,41.694
2011,percentage,saxony-anhalt,code15,47.408
2012,percentage,saxony-anhalt,code15,53.137
