Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,federal state,GeoCode,Value
2005,percentage,a) government deficit,,,,,-3.371
2006,percentage,a) government deficit,,,,,-1.755
2007,percentage,a) government deficit,,,,,0.155
2008,percentage,a) government deficit,,,,,-0.263
2009,percentage,a) government deficit,,,,,-3.175
2010,percentage,a) government deficit,,,,,-4.42
2011,percentage,a) government deficit,,,,,-0.84
2012,percentage,a) government deficit,,,,,-0.054
2013,percentage,a) government deficit,,,,,0.122
2014,percentage,a) government deficit,,,,,0.731
2015,percentage,a) government deficit,,,,,0.915
2016,percentage,a) government deficit,,,,,1.134
2017,percentage,a) government deficit,,,,,1.338
2018,percentage,a) government deficit,,,,,1.885
2019,percentage,a) government deficit,,,,,1.328
2020,percentage,a) government deficit,,,,,-4.381
2021,percentage,a) government deficit,p,,,,-3.167
2022,percentage,a) government deficit,p,,,,-2.147
2023,percentage,a) government deficit,p,,,,-2.48
2024,percentage,a) government deficit,p,,,,-2.686
2005,percentage,b) structural deficit,r,,,,-2.33
2006,percentage,b) structural deficit,r,,,,-2.001
2007,percentage,b) structural deficit,r,,,,-0.848
2008,percentage,b) structural deficit,r,,,,-0.789
2009,percentage,b) structural deficit,r,,,,-0.613
2010,percentage,b) structural deficit,r,,,,-2.258
2011,percentage,b) structural deficit,r,,,,-1.128
2012,percentage,b) structural deficit,r,,,,0.068
2013,percentage,b) structural deficit,r,,,,0.741
2014,percentage,b) structural deficit,r,,,,1.123
2015,percentage,b) structural deficit,r,,,,1.066
2016,percentage,b) structural deficit,r,,,,0.938
2017,percentage,b) structural deficit,r,,,,0.628
2018,percentage,b) structural deficit,r,,,,1.092
2019,percentage,b) structural deficit,r,,,,0.466
2020,percentage,b) structural deficit,r,,,,-2.689
2021,percentage,b) structural deficit,r,p,,,-2.832
2022,percentage,b) structural deficit,r,p,,,-1.729
2023,percentage,b) structural deficit,r,p,,,-2.106
2024,percentage,b) structural deficit,p,,,,-1.886
2005,percentage,gross domestic product (price-adjusted),,,,,0.9
2006,percentage,gross domestic product (price-adjusted),,,,,3.9
2007,percentage,gross domestic product (price-adjusted),,,,,2.9
2008,percentage,gross domestic product (price-adjusted),,,,,0.9
2009,percentage,gross domestic product (price-adjusted),,,,,-5.5
2010,percentage,gross domestic product (price-adjusted),,,,,4.1
2011,percentage,gross domestic product (price-adjusted),,,,,3.8
2012,percentage,gross domestic product (price-adjusted),,,,,0.5
2013,percentage,gross domestic product (price-adjusted),,,,,0.4
2014,percentage,gross domestic product (price-adjusted),,,,,2.2
2015,percentage,gross domestic product (price-adjusted),,,,,1.7
2016,percentage,gross domestic product (price-adjusted),,,,,2.3
2017,percentage,gross domestic product (price-adjusted),,,,,2.7
2018,percentage,gross domestic product (price-adjusted),,,,,1.1
2019,percentage,gross domestic product (price-adjusted),,,,,1.0
2020,percentage,gross domestic product (price-adjusted),r,,,,-4.1
2021,percentage,gross domestic product (price-adjusted),r,p,,,3.7
2022,percentage,gross domestic product (price-adjusted),p,,,,1.4
2023,percentage,gross domestic product (price-adjusted),p,,,,-0.3
2024,percentage,gross domestic product (price-adjusted),p,,,,-0.2
2005,percentage,b) structural deficit,.,,baden-wuerttemberg,code08,
2006,percentage,b) structural deficit,.,,baden-wuerttemberg,code08,
2007,percentage,b) structural deficit,.,,baden-wuerttemberg,code08,
2008,percentage,b) structural deficit,.,,baden-wuerttemberg,code08,
2009,percentage,b) structural deficit,.,,baden-wuerttemberg,code08,
2010,percentage,b) structural deficit,,,baden-wuerttemberg,code08,-0.396
2011,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.25
2012,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.386
2013,percentage,b) structural deficit,,,baden-wuerttemberg,code08,-0.117
2014,percentage,b) structural deficit,,,baden-wuerttemberg,code08,-0.042
2015,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.02
2016,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.11
2017,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.275
2018,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.852
2019,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.75
2020,percentage,b) structural deficit,,,baden-wuerttemberg,code08,-0.937
2021,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.664
2022,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.555
2023,percentage,b) structural deficit,,,baden-wuerttemberg,code08,0.087
2024,percentage,b) structural deficit,…,,baden-wuerttemberg,code08,
2005,percentage,b) structural deficit,.,,bavaria,code09,
2006,percentage,b) structural deficit,.,,bavaria,code09,
2007,percentage,b) structural deficit,.,,bavaria,code09,
2008,percentage,b) structural deficit,.,,bavaria,code09,
2009,percentage,b) structural deficit,.,,bavaria,code09,
2010,percentage,b) structural deficit,,,bavaria,code09,-0.368
2011,percentage,b) structural deficit,,,bavaria,code09,0.318
2012,percentage,b) structural deficit,,,bavaria,code09,0.541
2013,percentage,b) structural deficit,,,bavaria,code09,0.69
2014,percentage,b) structural deficit,,,bavaria,code09,0.648
2015,percentage,b) structural deficit,,,bavaria,code09,0.637
2016,percentage,b) structural deficit,,,bavaria,code09,0.658
2017,percentage,b) structural deficit,,,bavaria,code09,0.926
2018,percentage,b) structural deficit,,,bavaria,code09,1.055
2019,percentage,b) structural deficit,,,bavaria,code09,0.147
2020,percentage,b) structural deficit,,,bavaria,code09,-1.057
2021,percentage,b) structural deficit,,,bavaria,code09,0.146
2022,percentage,b) structural deficit,,,bavaria,code09,0.435
2023,percentage,b) structural deficit,,,bavaria,code09,-0.304
2024,percentage,b) structural deficit,…,,bavaria,code09,
2005,percentage,b) structural deficit,.,,berlin,code11,
2006,percentage,b) structural deficit,.,,berlin,code11,
2007,percentage,b) structural deficit,.,,berlin,code11,
2008,percentage,b) structural deficit,.,,berlin,code11,
2009,percentage,b) structural deficit,.,,berlin,code11,
2010,percentage,b) structural deficit,,,berlin,code11,-1.374
2011,percentage,b) structural deficit,,,berlin,code11,-0.903
2012,percentage,b) structural deficit,,,berlin,code11,0.026
2013,percentage,b) structural deficit,,,berlin,code11,0.693
2014,percentage,b) structural deficit,,,berlin,code11,0.829
2015,percentage,b) structural deficit,,,berlin,code11,0.975
2016,percentage,b) structural deficit,,,berlin,code11,1.0
2017,percentage,b) structural deficit,,,berlin,code11,1.721
2018,percentage,b) structural deficit,,,berlin,code11,1.542
2019,percentage,b) structural deficit,,,berlin,code11,0.745
2020,percentage,b) structural deficit,,,berlin,code11,-1.088
2021,percentage,b) structural deficit,,,berlin,code11,-1.307
2022,percentage,b) structural deficit,,,berlin,code11,0.823
2023,percentage,b) structural deficit,,,berlin,code11,-0.401
2024,percentage,b) structural deficit,…,,berlin,code11,
2005,percentage,b) structural deficit,.,,brandenburg,code12,
2006,percentage,b) structural deficit,.,,brandenburg,code12,
2007,percentage,b) structural deficit,.,,brandenburg,code12,
2008,percentage,b) structural deficit,.,,brandenburg,code12,
2009,percentage,b) structural deficit,.,,brandenburg,code12,
2010,percentage,b) structural deficit,,,brandenburg,code12,-1.079
2011,percentage,b) structural deficit,,,brandenburg,code12,0.145
2012,percentage,b) structural deficit,,,brandenburg,code12,0.212
2013,percentage,b) structural deficit,,,brandenburg,code12,1.592
2014,percentage,b) structural deficit,,,brandenburg,code12,0.904
2015,percentage,b) structural deficit,,,brandenburg,code12,1.387
2016,percentage,b) structural deficit,,,brandenburg,code12,1.192
2017,percentage,b) structural deficit,,,brandenburg,code12,1.41
2018,percentage,b) structural deficit,,,brandenburg,code12,1.482
2019,percentage,b) structural deficit,,,brandenburg,code12,-0.785
2020,percentage,b) structural deficit,,,brandenburg,code12,-1.067
2021,percentage,b) structural deficit,,,brandenburg,code12,-0.203
2022,percentage,b) structural deficit,,,brandenburg,code12,0.45
2023,percentage,b) structural deficit,,,brandenburg,code12,-0.122
2024,percentage,b) structural deficit,…,,brandenburg,code12,
2005,percentage,b) structural deficit,.,,bremen,code04,
2006,percentage,b) structural deficit,.,,bremen,code04,
2007,percentage,b) structural deficit,.,,bremen,code04,
2008,percentage,b) structural deficit,.,,bremen,code04,
2009,percentage,b) structural deficit,.,,bremen,code04,
2010,percentage,b) structural deficit,,,bremen,code04,-4.818
2011,percentage,b) structural deficit,,,bremen,code04,-3.202
2012,percentage,b) structural deficit,,,bremen,code04,-2.037
2013,percentage,b) structural deficit,,,bremen,code04,-1.845
2014,percentage,b) structural deficit,,,bremen,code04,-1.54
2015,percentage,b) structural deficit,,,bremen,code04,-1.068
2016,percentage,b) structural deficit,,,bremen,code04,-0.273
2017,percentage,b) structural deficit,,,bremen,code04,0.321
2018,percentage,b) structural deficit,,,bremen,code04,0.557
2019,percentage,b) structural deficit,,,bremen,code04,0.647
2020,percentage,b) structural deficit,,,bremen,code04,-0.859
2021,percentage,b) structural deficit,,,bremen,code04,-0.071
2022,percentage,b) structural deficit,,,bremen,code04,-0.367
2023,percentage,b) structural deficit,,,bremen,code04,-1.361
2024,percentage,b) structural deficit,…,,bremen,code04,
2005,percentage,b) structural deficit,.,,hamburg,code02,
2006,percentage,b) structural deficit,.,,hamburg,code02,
2007,percentage,b) structural deficit,.,,hamburg,code02,
2008,percentage,b) structural deficit,.,,hamburg,code02,
2009,percentage,b) structural deficit,.,,hamburg,code02,
2010,percentage,b) structural deficit,,,hamburg,code02,-0.88
2011,percentage,b) structural deficit,,,hamburg,code02,-0.404
2012,percentage,b) structural deficit,,,hamburg,code02,-1.054
2013,percentage,b) structural deficit,,,hamburg,code02,-1.316
2014,percentage,b) structural deficit,,,hamburg,code02,0.069
2015,percentage,b) structural deficit,,,hamburg,code02,0.142
2016,percentage,b) structural deficit,,,hamburg,code02,-0.204
2017,percentage,b) structural deficit,,,hamburg,code02,-0.259
2018,percentage,b) structural deficit,,,hamburg,code02,-0.508
2019,percentage,b) structural deficit,,,hamburg,code02,0.202
2020,percentage,b) structural deficit,,,hamburg,code02,-0.829
2021,percentage,b) structural deficit,,,hamburg,code02,-0.315
2022,percentage,b) structural deficit,,,hamburg,code02,2.229
2023,percentage,b) structural deficit,,,hamburg,code02,0.462
2024,percentage,b) structural deficit,…,,hamburg,code02,
2005,percentage,b) structural deficit,.,,hesse,code06,
2006,percentage,b) structural deficit,.,,hesse,code06,
2007,percentage,b) structural deficit,.,,hesse,code06,
