Year,Units,COMMENT_OBS_0,länder,GeoCode,sector,Value
1991,percentage,,,,,2.4
1992,percentage,,,,,2.28
1993,percentage,,,,,2.21
1994,percentage,,,,,2.13
1995,percentage,,,,,2.13
1996,percentage,,,,,2.15
1997,percentage,,,,,2.18
1998,percentage,,,,,2.25
1999,percentage,,,,,2.33
2000,percentage,,,,,2.39
2001,percentage,,,,,2.38
2002,percentage,,,,,2.41
2003,percentage,,,,,2.44
2004,percentage,,,,,2.4
2005,percentage,,,,,2.4
2006,percentage,,,,,2.43
2007,percentage,,,,,2.42
2008,percentage,,,,,2.57
2009,percentage,,,,,2.69
2010,percentage,,,,,2.68
2011,percentage,,,,,2.75
2012,percentage,,,,,2.83
2013,percentage,,,,,2.78
2014,percentage,,,,,2.82
2015,percentage,,,,,2.88
2016,percentage,,,,,2.88
2017,percentage,,,,,2.99
2018,percentage,,,,,3.05
2019,percentage,,,,,3.11
2020,percentage,,,,,3.09
2021,percentage,,,,,3.07
2022,percentage,,,,,3.04
2023,percentage,,,,,3.13
2025,percentage,…,,,,
1991,percentage,,baden-wuerttemberg,code08,,
1992,percentage,,baden-wuerttemberg,code08,,
1993,percentage,,baden-wuerttemberg,code08,,
1994,percentage,,baden-wuerttemberg,code08,,
1995,percentage,,baden-wuerttemberg,code08,,3.42
1996,percentage,,baden-wuerttemberg,code08,,
1997,percentage,,baden-wuerttemberg,code08,,3.56
1998,percentage,,baden-wuerttemberg,code08,,
1999,percentage,,baden-wuerttemberg,code08,,3.66
2000,percentage,,baden-wuerttemberg,code08,,3.72
2001,percentage,,baden-wuerttemberg,code08,,3.66
2002,percentage,,baden-wuerttemberg,code08,,3.71
2003,percentage,,baden-wuerttemberg,code08,,3.7
2004,percentage,,baden-wuerttemberg,code08,,3.7
2005,percentage,,baden-wuerttemberg,code08,,4.02
2006,percentage,,baden-wuerttemberg,code08,,3.96
2007,percentage,,baden-wuerttemberg,code08,,4.1
2008,percentage,,baden-wuerttemberg,code08,,4.35
2009,percentage,,baden-wuerttemberg,code08,,4.54
2010,percentage,,baden-wuerttemberg,code08,,4.37
2011,percentage,,baden-wuerttemberg,code08,,4.72
2012,percentage,,baden-wuerttemberg,code08,,4.83
2013,percentage,,baden-wuerttemberg,code08,,4.67
2014,percentage,,baden-wuerttemberg,code08,,4.78
2015,percentage,,baden-wuerttemberg,code08,,4.85
2016,percentage,,baden-wuerttemberg,code08,,4.85
2017,percentage,,baden-wuerttemberg,code08,,5.51
2018,percentage,,baden-wuerttemberg,code08,,5.54
2019,percentage,,baden-wuerttemberg,code08,,5.65
2020,percentage,,baden-wuerttemberg,code08,,5.56
2021,percentage,,baden-wuerttemberg,code08,,5.47
2022,percentage,,baden-wuerttemberg,code08,,5.46
2023,percentage,,baden-wuerttemberg,code08,,5.71
2025,percentage,…,baden-wuerttemberg,code08,,
1991,percentage,,bavaria,code09,,
1992,percentage,,bavaria,code09,,
1993,percentage,,bavaria,code09,,
1994,percentage,,bavaria,code09,,
1995,percentage,,bavaria,code09,,2.68
1996,percentage,,bavaria,code09,,
1997,percentage,,bavaria,code09,,2.66
1998,percentage,,bavaria,code09,,
1999,percentage,,bavaria,code09,,2.8
2000,percentage,,bavaria,code09,,2.81
2001,percentage,,bavaria,code09,,2.9
2002,percentage,,bavaria,code09,,2.88
2003,percentage,,bavaria,code09,,2.98
2004,percentage,,bavaria,code09,,2.9
2005,percentage,,bavaria,code09,,2.86
2006,percentage,,bavaria,code09,,2.93
2007,percentage,,bavaria,code09,,2.78
2008,percentage,,bavaria,code09,,2.98
2009,percentage,,bavaria,code09,,3.0
2010,percentage,,bavaria,code09,,2.97
2011,percentage,,bavaria,code09,,2.94
2012,percentage,,bavaria,code09,,3.04
2013,percentage,,bavaria,code09,,3.07
2014,percentage,,bavaria,code09,,3.08
