Year,Value,Units,Series,GeoCode
1996,80.4,percentage,foreigns,
1997,80.6,percentage,foreigns,
1998,80.5,percentage,foreigns,
1999,80.7,percentage,foreigns,
2000,80.1,percentage,foreigns,
2001,79.8,percentage,foreigns,
2002,80.6,percentage,foreigns,
2003,80.9,percentage,foreigns,
2004,81.9,percentage,foreigns,
2005,82.6,percentage,foreigns,
2006,83.2,percentage,foreigns,
2007,84.0,percentage,foreigns,
2008,85.0,percentage,foreigns,
2009,86.2,percentage,foreigns,
2010,87.2,percentage,foreigns,
2011,88.2,percentage,foreigns,
2012,88.6,percentage,foreigns,
2013,89.3,percentage,foreigns,
2014,88.5,percentage,foreigns,
2015,88.2,percentage,foreigns,
2016,85.8,percentage,foreigns,
2017,81.8,percentage,foreigns,
2018,81.8,percentage,foreigns,
2019,82.4,percentage,foreigns,
2020,85.3,percentage,foreigns,
2021,84.3,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
1996,92.3,percentage,germans,
1997,92.3,percentage,germans,
1998,92.1,percentage,germans,
1999,92.0,percentage,germans,
2000,91.7,percentage,germans,
2001,91.3,percentage,germans,
2002,91.8,percentage,germans,
2003,92.1,percentage,germans,
2004,92.6,percentage,germans,
2005,92.8,percentage,germans,
2006,93.1,percentage,germans,
2007,93.6,percentage,germans,
2008,93.8,percentage,germans,
2009,94.2,percentage,germans,
2010,94.6,percentage,germans,
2011,95.0,percentage,germans,
2012,95.1,percentage,germans,
2013,95.4,percentage,germans,
2014,95.1,percentage,germans,
2015,95.0,percentage,germans,
2016,95.1,percentage,germans,
2017,94.8,percentage,germans,
2018,94.6,percentage,germans,
2019,94.5,percentage,germans,
2020,94.9,percentage,germans,
2021,94.9,percentage,germans,
2030,,percentage,germans,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,foreigns,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
2030,,percentage,germans,
1996,11.9,percentage points,difference,
1997,11.7,percentage points,difference,
1998,11.6,percentage points,difference,
1999,11.3,percentage points,difference,
2000,11.6,percentage points,difference,
2001,11.5,percentage points,difference,
2002,11.2,percentage points,difference,
2003,11.2,percentage points,difference,
2004,10.7,percentage points,difference,
2005,10.2,percentage points,difference,
2006,9.9,percentage points,difference,
2007,9.6,percentage points,difference,
2008,8.8,percentage points,difference,
2009,8.0,percentage points,difference,
2010,7.4,percentage points,difference,
2011,6.8,percentage points,difference,
2012,6.5,percentage points,difference,
2013,6.1,percentage points,difference,
2014,6.6,percentage points,difference,
2015,6.8,percentage points,difference,
2016,9.3,percentage points,difference,
2017,13.0,percentage points,difference,
2018,12.8,percentage points,difference,
2019,12.1,percentage points,difference,
2020,9.6,percentage points,difference,
2021,10.6,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
2030,,percentage points,difference,
