Year,Value,Units
2000,100.0,2000 = 100
2001,99.177,2000 = 100
2002,98.269,2000 = 100
2003,97.261,2000 = 100
2004,96.24,2000 = 100
2005,95.29,2000 = 100
2006,94.287,2000 = 100
2007,93.328,2000 = 100
2008,92.246,2000 = 100
2009,91.382,2000 = 100
2010,90.705,2000 = 100
2011,90.013,2000 = 100
2012,89.792,2000 = 100
2013,89.64,2000 = 100
2014,89.571,2000 = 100
2015,90.332,2000 = 100
2016,90.394,2000 = 100
2017,90.232,2000 = 100
2018,89.909,2000 = 100
2019,89.773,2000 = 100
2020,89.379,2000 = 100
2021,89.095,2000 = 100
2022,90.014,2000 = 100
2023,89.945,2000 = 100
2000,1853.467,inhabitants per km² settlement and transport area
2001,1838.213,inhabitants per km² settlement and transport area
2002,1821.393,inhabitants per km² settlement and transport area
2003,1802.705,inhabitants per km² settlement and transport area
2004,1783.78,inhabitants per km² settlement and transport area
2005,1766.167,inhabitants per km² settlement and transport area
2006,1747.571,inhabitants per km² settlement and transport area
2007,1729.797,inhabitants per km² settlement and transport area
2008,1709.759,inhabitants per km² settlement and transport area
2009,1693.736,inhabitants per km² settlement and transport area
2010,1681.19,inhabitants per km² settlement and transport area
2011,1668.353,inhabitants per km² settlement and transport area
2012,1664.274,inhabitants per km² settlement and transport area
2013,1661.45,inhabitants per km² settlement and transport area
2014,1660.161,inhabitants per km² settlement and transport area
2015,1674.273,inhabitants per km² settlement and transport area
2016,1675.431,inhabitants per km² settlement and transport area
2017,1672.418,inhabitants per km² settlement and transport area
2018,1666.437,inhabitants per km² settlement and transport area
2019,1663.907,inhabitants per km² settlement and transport area
2020,1656.618,inhabitants per km² settlement and transport area
2021,1651.338,inhabitants per km² settlement and transport area
2022,1668.389,inhabitants per km² settlement and transport area
2023,1667.11,inhabitants per km² settlement and transport area
