Year,Value,Units,GeoCode
1990,100.0,1990 = 100,
1991,96.321,1990 = 100,
1992,92.356,1990 = 100,
1993,91.622,1990 = 100,
1994,90.173,1990 = 100,
1995,89.601,1990 = 100,
1996,90.981,1990 = 100,
1997,88.122,1990 = 100,
1998,86.166,1990 = 100,
1999,83.428,1990 = 100,
2000,83.191,1990 = 100,
2001,84.363,1990 = 100,
2002,82.625,1990 = 100,
2003,81.935,1990 = 100,
2004,80.056,1990 = 100,
2005,78.96,1990 = 100,
2006,80.038,1990 = 100,
2007,76.819,1990 = 100,
2008,77.447,1990 = 100,
2009,71.946,1990 = 100,
2010,74.194,1990 = 100,
2011,72.307,1990 = 100,
2012,73.121,1990 = 100,
2013,74.479,1990 = 100,
2014,71.233,1990 = 100,
2015,71.913,1990 = 100,
2016,71.539,1990 = 100,
2017,70.35,1990 = 100,
2018,68.1,1990 = 100,
2019,63.707,1990 = 100,
2020,58.51,1990 = 100,
2021,60.736,1990 = 100,
2022,59.966,1990 = 100,
2023,53.888,1990 = 100,
2030,,1990 = 100,
2040,,1990 = 100,
2045,,1990 = 100,
