Year,Value,Units,Series
2003,32.258,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2004,22.581,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2005,19.355,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2006,16.129,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2007,22.581,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2008,32.258,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2009,32.258,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2010,38.71,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2011,38.71,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2012,41.935,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2013,41.935,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2014,35.484,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2015,41.935,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2016,45.161,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2017,46.875,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2018,50.0,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2019,43.75,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2020,53.125,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2021,65.625,percentage,commercial exploited fish stocks assessed for msy that is fished sustainably
2003,39.744,percentage,share of msy examined stocks in all managed fish stocks
2004,39.744,percentage,share of msy examined stocks in all managed fish stocks
2005,39.744,percentage,share of msy examined stocks in all managed fish stocks
2006,39.744,percentage,share of msy examined stocks in all managed fish stocks
2007,39.744,percentage,share of msy examined stocks in all managed fish stocks
2008,39.744,percentage,share of msy examined stocks in all managed fish stocks
2009,39.744,percentage,share of msy examined stocks in all managed fish stocks
2010,39.744,percentage,share of msy examined stocks in all managed fish stocks
2011,39.744,percentage,share of msy examined stocks in all managed fish stocks
2012,39.744,percentage,share of msy examined stocks in all managed fish stocks
2013,39.744,percentage,share of msy examined stocks in all managed fish stocks
2014,39.744,percentage,share of msy examined stocks in all managed fish stocks
2015,39.744,percentage,share of msy examined stocks in all managed fish stocks
2016,39.744,percentage,share of msy examined stocks in all managed fish stocks
2017,41.026,percentage,share of msy examined stocks in all managed fish stocks
2018,41.026,percentage,share of msy examined stocks in all managed fish stocks
2019,41.026,percentage,share of msy examined stocks in all managed fish stocks
2020,41.026,percentage,share of msy examined stocks in all managed fish stocks
2021,41.026,percentage,share of msy examined stocks in all managed fish stocks
