Year,Value,Units,Series
2009,3.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2010,20.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2011,12.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2012,24.9,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2013,36.3,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2014,31.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2015,15.7,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2016,59.8,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2017,68.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2018,63.0,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2019,63.5,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2020,24.2,million eur,preservation or restoration of forests in developing countries under the redd+ rulebook
2009,40.0,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2010,152.5,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2011,198.6,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2012,245.3,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2013,248.7,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2014,239.7,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2015,271.9,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2016,347.4,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2017,483.4,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2018,571.8,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2019,745.6,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
2020,703.5,million eur,german gross bilateral development expenditure for the implementation of the un convention to combat desertification
