Year,Value,Units,Series
2012,79.0,,xxxcorruption perception index in germany
2013,78.0,,xxxcorruption perception index in germany
2014,79.0,,xxxcorruption perception index in germany
2015,81.0,,xxxcorruption perception index in germany
2016,81.0,,xxxcorruption perception index in germany
2017,81.0,,xxxcorruption perception index in germany
2018,80.0,,xxxcorruption perception index in germany
2019,80.0,,xxxcorruption perception index in germany
2020,80.0,,xxxcorruption perception index in germany
2021,80.0,,xxxcorruption perception index in germany
2022,79.0,,xxxcorruption perception index in germany
2023,78.0,,xxxcorruption perception index in germany
2024,75.0,,xxxcorruption perception index in germany
2012,,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2013,16.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2014,30.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2015,30.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2016,31.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2017,32.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2018,31.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2019,34.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2020,36.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2021,36.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2022,30.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2023,34.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
2024,32.0,number,xxxnumber of partner countries for german development cooperation with improved cpi scores compared with 2012
