Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1999,14.9,percentage,,,
2000,14.6,percentage,,r,
2001,12.3,percentage,,r,
2002,12.5,percentage,,r,
2003,12.8,percentage,,,
2004,12.1,percentage,,,
2005,13.5,percentage,,r,
2006,13.7,percentage,,r,
2007,12.5,percentage,,r,
2008,11.8,percentage,,,
2009,11.1,percentage,,,
2010,11.9,percentage,,r,
2011,11.6,percentage,,,
2012,10.4,percentage,,r,
2013,9.8,percentage,,,
2014,9.5,percentage,,,
2015,9.8,percentage,,r,
2016,10.3,percentage,,,
2017,10.1,percentage,,,
2018,10.3,percentage,,,
2019,10.3,percentage,,,
2020,10.2,percentage,,|,r
2021,12.0,percentage,,r,
2022,12.5,percentage,,r,
2023,13.3,percentage,,r,
2024,13.8,percentage,,,
2025,13.3,percentage,,p,
2030,,percentage,,…,
