Year,Value,Units,GeoCode
1999,33.35,percentage,
2010,41.31,percentage,
2011,42.22,percentage,
2012,43.43,percentage,
2013,44.48,percentage,
2014,45.67,percentage,
2015,46.77,percentage,
2016,47.88,percentage,
2017,48.84,percentage,
2018,49.83,percentage,
2019,50.49,percentage,
2020,52.3,percentage,
2021,53.238,percentage,
2000,33.0,percentage,
2001,33.17,percentage,
2002,33.28,percentage,
2003,33.89,percentage,
2004,36.22,percentage,
2005,35.99,percentage,
2006,36.5,percentage,
2007,37.63,percentage,
2008,38.77,percentage,
2009,40.71,percentage,
2030,,percentage,
