Year,Value,Units
1990,17.742,percentage
1991,17.297,percentage
1992,19.271,percentage
1993,20.43,percentage
1994,23.196,percentage
1995,23.529,percentage
1996,21.393,percentage
1997,23.645,percentage
1998,19.524,percentage
1999,26.728,percentage
2000,28.507,percentage
2001,29.358,percentage
2002,25.893,percentage
2003,31.25,percentage
2004,31.696,percentage
2005,30.242,percentage
2006,33.333,percentage
2007,30.488,percentage
2008,32.773,percentage
2009,33.2,percentage
2010,31.349,percentage
2011,36.905,percentage
2012,34.694,percentage
2013,35.341,percentage
2014,33.603,percentage
2015,29.96,percentage
2016,36.905,percentage
2017,34.836,percentage
2018,43.651,percentage
2019,41.564,percentage
2020,41.7,percentage
2021,43.426,percentage
2022,42.742,percentage
2030,,percentage
