Year,Value,Units
1996,79.074,percentage
1997,79.111,percentage
1998,73.602,percentage
1999,70.166,percentage
2000,67.682,percentage
2001,68.389,percentage
2002,67.578,percentage
2003,67.18,percentage
2004,65.425,percentage
2005,64.178,percentage
2006,63.037,percentage
2007,61.523,percentage
2008,61.181,percentage
2009,61.8,percentage
2010,60.538,percentage
2011,58.869,percentage
2012,58.294,percentage
2013,57.669,percentage
2014,57.819,percentage
2015,56.796,percentage
2016,56.374,percentage
2017,54.504,percentage
2018,54.376,percentage
2019,51.847,percentage
2020,51.059,percentage
2021,52.036,percentage
2022,50.828,percentage
2023,49.453,percentage
