Value,Disaggregation combinations using this value,Number of indicators
ahrweiler,1,1
aichach-friedberg,1,1
alb-donau-kreis,1,1
altenburger land,1,1
altenkirchen (westerwald),1,1
altmarkkreis salzwedel,1,1
altötting,1,1
alzey-worms,1,1
"amberg, stadt",1,1
amberg-sulzbach,1,1
ammerland,1,1
anhalt-bitterfeld,1,1
"ansbach, stadt",1,1
ansbach,1,1
"aschaffenburg, stadt",1,1
aschaffenburg,1,1
"augsburg, stadt",1,1
augsburg,1,1
aurich,1,1
bad dürkheim,1,1
bad kissingen,1,1
bad kreuznach,1,1
bad tölz-wolfratshausen,1,1
"baden-baden, stadt",1,1
"bamberg, stadt",1,1
bamberg,1,1
barnim,1,1
bautzen,1,1
"bayreuth, stadt",1,1
bayreuth,1,1
berchtesgadener land,1,1
bergstraße,1,1
"berlin, stadt",1,1
bernkastel-wittlich,1,1
biberach,1,1
"bielefeld, stadt",1,1
birkenfeld,1,1
"bochum, stadt",1,1
bodenseekreis,1,1
"bonn, stadt",1,1
borken,1,1
"bottrop, stadt",1,1
"brandenburg an der havel, stadt",1,1
"braunschweig, stadt",1,1
breisgau-hochschwarzwald,1,1
"bremen, stadt",1,1
"bremerhaven, stadt",1,1
burgenlandkreis,1,1
böblingen,1,1
börde,1,1
calw,1,1
celle,1,1
cham,1,1
"chemnitz, stadt",1,1
cloppenburg,1,1
"coburg, stadt",1,1
coburg,1,1
cochem-zell,1,1
coesfeld,1,1
"cottbus, stadt",1,1
cuxhaven,1,1
dachau,1,1
dahme-spreewald,1,1
darmstadt-dieburg,1,1
"darmstadt, stadt",1,1
deggendorf,1,1
"delmenhorst, stadt",1,1
"dessau-roßlau, stadt",1,1
diepholz,1,1
dillingen an der donau,1,1
dingolfing-landau,1,1
dithmarschen,1,1
donau-ries,1,1
donnersbergkreis,1,1
"dortmund, stadt",1,1
"dresden, stadt",1,1
"duisburg, stadt",1,1
düren,1,1
"düsseldorf, stadt",1,1
ebersberg,1,1
eichsfeld,1,1
eichstätt,1,1
eifelkreis bitburg-prüm,1,1
"eisenach, stadt",1,1
elbe-elster,1,1
"emden, stadt",1,1
emmendingen,1,1
emsland,1,1
ennepe-ruhr-kreis,1,1
enzkreis,1,1
erding,1,1
"erfurt, stadt",1,1
erlangen-höchstadt,1,1
"erlangen, stadt",1,1
erzgebirgskreis,1,1
"essen, stadt",1,1
esslingen,1,1
euskirchen,1,1
"flensburg, stadt",1,1
forchheim,1,1
"frankenthal (pfalz), stadt",1,1
"frankfurt am main, stadt",1,1
"frankfurt (oder), stadt",1,1
"freiburg im breisgau, stadt",1,1
freising,1,1
